time_from_launch[s],elapsed_time[s],launch_clear?,combusting?,para_opened?,air_density[kg/m3],gravity[m/s2],pressure[Pa],temperature[C],wind_x[m/s],wind_y[m/s],wind_z[m/s],mass[kg],Cg_from_nose[m],inertia moment pitch & yaw[kg*m2],inertia moment roll[kg*m2],attack angle[rad],altitude[m],velocity[m/s],airspeed[m/s],accel[m/s2],longitudinal accel[m/s2],normal_force[N],Cnp,Cny,Cmqp,Cmqy,Cp_from_nose[m],Cd,Cna,latitude,longitude,downrange[m],Fst[%],dynamic_pressure[Pa]
0.0001,0.0001,False,True,False,1.2252256827617731,9.80665,101325.0,15.0,0,0,0,4.89398037525355,0.6448995740365112,0.5076,0.01999949290060852,0.0,0.0,0.6829189345001824,0.0,6.455286159246861,6.455286159246861,0.0,0.0,0.0,-2.0757090866339047,-2.0757090866339047,0.8411262708,0.3584865107,6.963637053,40.138624,139.984906,0.0,16.352224730290736,0.0
0.0011000000000000003,0.0011000000000000003,False,True,False,1.2252256827617731,9.80665,101325.0,15.0,0,0,0,4.893784127789049,0.6448953144016231,0.5076,0.019994421906693705,0.0,0.0,0.6829189345001824,0.0,6.8161620147046005,6.8161620147046005,0.0,0.0,0.0,-2.0757090866339047,-2.0757090866339047,0.8411262708,0.3584865107,6.963637053,40.138623999971514,139.984906,3.7127087355300894e-06,16.352579699864748,0.0
0.0021000000000000003,0.0021000000000000003,False,True,False,1.2252256827617731,9.80665,101325.0,15.0,0,0,0,4.893587880324548,0.6448910547667349,0.5076,0.01998935091277889,0.0,0.0,0.6829189345001824,0.0,6.81643536312415,6.81643536312415,0.0,0.0,0.0,-2.0757090866339047,-2.0757090866339047,0.8411262708,0.3584865107,6.963637053,40.138623999890726,139.98490599999997,1.4241552153937179e-05,16.35293466943876,0.0
0.0030999999999999986,0.0030999999999999986,False,True,False,1.2252256827617731,9.80665,101325.0,15.0,0,0,0,4.893391632860046,0.6448867951318468,0.5076,0.019984279918864076,0.0,0.0,0.6829189345001824,0.0,6.816708733468753,6.816708733468753,0.0,0.0,0.0,-2.0757090866339047,-2.0757090866339047,0.8411262708,0.3584865107,6.963637053,40.13862399975764,139.98490599999994,3.158680360144868e-05,16.35328963901277,0.0
0.004099999999999998,0.004099999999999998,False,True,False,1.2252256827617731,9.80665,101325.0,15.0,0,0,0,4.893195385395545,0.6448825354969586,0.5076,0.01997920892494926,0.0,0.0,0.6829189345001824,0.0,6.8169821257410455,6.8169821257410455,0.0,0.0,0.0,-2.0757090866339047,-2.0757090866339047,0.8411262708,0.3584865107,6.963637053,40.13862399957225,139.98490599999988,5.5748736446216776e-05,16.353644608586784,0.0
0.0051,0.0051,False,True,False,1.2252256827617731,9.80665,101325.0,15.0,0,0,0,4.892999137931044,0.6448782758620705,0.5076,0.019974137931034447,0.0,0.0,0.6829189345001824,0.0,6.817255539943667,6.817255539943667,0.0,0.0,0.0,-2.0757090866339047,-2.0757090866339047,0.8411262708,0.3584865107,6.963637053,40.13862399933456,139.98490599999982,8.672762407832111e-05,16.3539995781608,0.0
0.006100000000000003,0.006100000000000003,False,True,False,1.2252256827617731,9.80665,101325.0,15.0,0,0,0,4.892802890466543,0.6448740162271823,0.5076,0.019969066937119632,0.0,0.0,0.6829189345001824,0.0,6.817528976079257,6.817528976079257,0.0,0.0,0.0,-2.0757090866339047,-2.0757090866339047,0.8411262708,0.3584865107,6.963637053,40.13862399904457,139.98490599999977,0.0001245237399097714,16.354354547734808,0.0
0.007100000000000006,0.007100000000000006,False,True,False,1.2252256827617731,9.80665,101325.0,15.0,0,0,0,4.892606643002042,0.6448697565922942,0.5076,0.019963995943204818,0.0,0.0,0.6829189345001824,0.0,6.817802434150454,6.817802434150454,0.0,0.0,0.0,-2.0757090866339047,-2.0757090866339047,0.8411262708,0.3584865107,6.963637053,40.13862399870226,139.98490599999968,0.00016913735737450995,16.35470951730882,0.0
0.008100000000000007,0.008100000000000007,False,True,False,1.2252256827617731,9.80665,101325.0,15.0,0,0,0,4.89241039553754,0.644865496957406,0.5076,0.019958924949290004,0.0,0.0,0.6829189345001824,0.0,6.8180759141598966,6.8180759141598966,0.0,0.0,0.0,-2.0757090866339047,-2.0757090866339047,0.8411262708,0.3584865107,6.963637053,40.138623998307644,139.9849059999996,0.00022056874992841457,16.355064486882835,0.0
0.0091,0.0091,False,True,False,1.2252256827617731,9.80665,101325.0,15.0,0,0,0,4.892214148073039,0.6448612373225179,0.5076,0.01995385395537519,0.0,0.0,0.6829189345001824,0.0,6.818349416110227,6.818349416110227,0.0,0.0,0.0,-2.0757090866339047,-2.0757090866339047,0.8411262708,0.3584865107,6.963637053,40.13862399786071,139.98490599999948,0.00027881819104930096,16.355419456456847,0.0
0.010099999999999994,0.010099999999999994,False,True,False,1.2252256827617731,9.80665,101325.0,15.0,0,0,0,4.892017900608538,0.6448569776876297,0.5076,0.019948782961460375,0.0,0.0,0.6829189345001824,0.0,6.818622940004084,6.818622940004084,0.0,0.0,0.0,-2.0757090866339047,-2.0757090866339047,0.8411262708,0.3584865107,6.963637053,40.138623997361464,139.98490599999937,0.0003438859542369254,16.35577442603086,0.0
0.011099999999999988,0.011099999999999988,False,True,False,1.2252256827617731,9.80665,101325.0,15.0,0,0,0,4.891821653144037,0.6448527180527416,0.5076,0.01994371196754556,0.0,0.0,0.6829189345001824,0.0,6.81889648584411,6.81889648584411,0.0,0.0,0.0,-2.0757090866339047,-2.0757090866339047,0.8411262708,0.3584865107,6.963637053,40.138623996809905,139.98490599999923,0.0004157723130129876,16.35612939560487,0.0
